"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"1312","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1533","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2123","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"965","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2071","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1057","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"889","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"829","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"76","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1778","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"CB-776-DYQZ5Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"716","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2437","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"357","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1434","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"81","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2083","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"152","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1sw0s9","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1sw3hc","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"812","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"430","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"558","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2045","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1892","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"451","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1383","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"2033","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"604","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1457","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1566","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"552","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1897","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2073","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2859","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"634","","Dell Chromebook 3100","N/A","No Warranty Data",,"N/A","400.00"
"2318","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1741","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2571","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2562","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2482","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
